focus,question_type,question,answer
Asthma,information,What is (are) Asthma ?,"Asthma is a breathing disorder that affects the airways. People with this condition experience recurrent swelling and narrowing of the airways of the lungs which is associated with wheezing, shortness of breath, chest tightness, and coughing. Most affected people have episodes of symptoms (""asthma attacks"") followed by symptom-free periods; however, some may experience persistent shortness of breath in between attacks. Asthma is considered a complex or multifactorial condition that is likely due to a combination of multiple genetic, environmental, and lifestyle factors. Many people with asthma have a personal or family history of allergies, such as hay fever or eczema. Having a family member with asthma is associated with an increased risk of developing the condition. Treatment generally includes various medications, both to prevent asthma attacks and to provide quick relief during an attack."
Asthma,symptoms,What are the symptoms of Asthma ?,"What are the signs and symptoms of Asthma? The Human Phenotype Ontology provides the following list of signs and symptoms for Asthma. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Asthma - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Asthma,susceptibility,What causes Asthma ?,"The exact cause of asthma isn't known. Researchers think some genetic and environmental factors interact to cause asthma, most often early in life. These factors include:
                
An inherited tendency to develop allergies, called atopy (AT-o-pe)
                
Parents who have asthma
                
Certain respiratory infections during childhood
                
Contact with some airborne allergens or exposure to some viral infections in infancy or in early childhood when the immune system is developing
                
If asthma or atopy runs in your family, exposure to irritants (for example, tobacco smoke) may make your airways more reactive to substances in the air.
                
Some factors may be more likely to cause asthma in some people than in others. Researchers continue to explore what causes asthma.
                
The ""Hygiene Hypothesis""
                
One theory researchers have for what causes asthma is the ""hygiene hypothesis."" They believe that our Western lifestylewith its emphasis on hygiene and sanitationhas resulted in changes in our living conditions and an overall decline in infections in early childhood.
                
Many young children no longer have the same types of environmental exposures and infections as children did in the past. This affects the way that young children's immune systems develop during very early childhood, and it may increase their risk for atopy and asthma. This is especially true for children who have close family members with one or both of these conditions."
Asthma,risk,Who is at risk for Asthma? ?,"Asthma affects people of all ages, but it most often starts during childhood. In the United States, more than 22 million people are known to have asthma. Nearly 6 million of these people are children.
                
Young children who often wheeze and have respiratory infectionsas well as certain other risk factorsare at highest risk of developing asthma that continues beyond 6 years of age. The other risk factors include having allergies, eczema (an allergic skin condition), or parents who have asthma.
                
Among children, more boys have asthma than girls. But among adults, more women have the disease than men. It's not clear whether or how sex and sex hormones play a role in causing asthma.
                
Most, but not all, people who have asthma have allergies.
                
Some people develop asthma because of contact with certain chemical irritants or industrial dusts in the workplace. This type of asthma is called occupational asthma."
Asthma,treatment,What are the treatments for Asthma ?,"Asthma is a long-term disease that has no cure. The goal of asthma treatment is to control the disease. Good asthma control will:
                
Prevent chronic and troublesome symptoms, such as coughing and shortness of breath
                
Reduce your need for quick-relief medicines (see below)
                
Help you maintain good lung function
                
Let you maintain your normal activity level and sleep through the night
                
Prevent asthma attacks that could result in an emergency room visit or hospital stay
                
To control asthma, partner with your doctor to manage your asthma or your child's asthma. Children aged 10 or olderand younger children who are ableshould take an active role in their asthma care.
                
Taking an active role to control your asthma involves:
                
Working with your doctor to treat other conditions that can interfere with asthma management.
                
Avoiding things that worsen your asthma (asthma triggers). However, one trigger you should not avoid is physical activity. Physical activity is an important part of a healthy lifestyle. Talk with your doctor about medicines that can help you stay active.
                
Working with your doctor and other health care providers to create and follow an asthma action plan.
                
An asthma action plan gives guidance on taking your medicines properly, avoiding asthma triggers (except physical activity), tracking your level of asthma control, responding to worsening symptoms, and seeking emergency care when needed.
                
Asthma is treated with two types of medicines: long-term control and quick-relief medicines. Long-term control medicines help reduce airway inflammation and prevent asthma symptoms. Quick-relief, or ""rescue,"" medicines relieve asthma symptoms that may flare up.
                
Your initial treatment will depend on the severity of your asthma. Followup asthma treatment will depend on how well your asthma action plan is controlling your symptoms and preventing asthma attacks.
                
Your level of asthma control can vary over time and with changes in your home, school, or work environments. These changes can alter how often you're exposed to the factors that can worsen your asthma.
                
Your doctor may need to increase your medicine if your asthma doesn't stay under control. On the other hand, if your asthma is well controlled for several months, your doctor may decrease your medicine. These adjustments to your medicine will help you maintain the best control possible with the least amount of medicine necessary.
                
Asthma treatment for certain groups of peoplesuch as children, pregnant women, or those for whom exercise brings on asthma symptomswill be adjusted to meet their special needs.
                
Follow an Asthma Action Plan
                
You can work with your doctor to create a personal asthma action plan. The plan will describe your daily treatments, such as which medicines to take and when to take them. The plan also will explain when to call your doctor or go to the emergency room.
                
If your child has asthma, all of the people who care for him or her should know about the child's asthma action plan. This includes babysitters and workers at daycare centers, schools, and camps. These caretakers can help your child follow his or her action plan.
                
Go to the National Heart, Lung, and Blood Institute's (NHLBI's) ""Asthma Action Plan"" for a sample plan.
                
Avoid Things That Can Worsen Your Asthma
                
Many common things (called asthma triggers) can set off or worsen your asthma symptoms. Once you know what these things are, you can take steps to control many of them. (For more information about asthma triggers, go to ""What Are the Signs and Symptoms of Asthma?"")
                
For example, exposure to pollens or air pollution might make your asthma worse. If so, try to limit time outdoors when the levels of these substances in the outdoor air are high. If animal fur triggers your asthma symptoms, keep pets with fur out of your home or bedroom.
                
One possible asthma trigger you shouldnt avoid is physical activity. Physical activity is an important part of a healthy lifestyle. Talk with your doctor about medicines that can help you stay active.
                
The NHLBI offers many useful tips for controlling asthma triggers. For more information, go to page 2 of NHLBI's ""Asthma Action Plan.""
                
If your asthma symptoms are clearly related to allergens, and you can't avoid exposure to those allergens, your doctor may advise you to get allergy shots.
                
You may need to see a specialist if you're thinking about getting allergy shots. These shots can lessen or prevent your asthma symptoms, but they can't cure your asthma.
                
Several health conditions can make asthma harder to manage. These conditions include runny nose, sinus infections, reflux disease, psychological stress, and sleep apnea. Your doctor will treat these conditions as well.
                
Medicines
                
Your doctor will consider many things when deciding which asthma medicines are best for you. He or she will check to see how well a medicine works for you. Then, he or she will adjust the dose or medicine as needed.
                
Asthma medicines can be taken in pill form, but most are taken using a device called an inhaler. An inhaler allows the medicine to go directly to your lungs.
                
Not all inhalers are used the same way. Ask your doctor or another health care provider to show you the right way to use your inhaler. Review the way you use your inhaler at every medical visit.
                
Long-Term Control Medicines
                
Most people who have asthma need to take long-term control medicines daily to help prevent symptoms. The most effective long-term medicines reduce airway inflammation, which helps prevent symptoms from starting. These medicines don't give you quick relief from symptoms.
                
Inhaled corticosteroids. Inhaled corticosteroids are the preferred medicine for long-term control of asthma. They're the most effective option for long-term relief of the inflammation and swelling that makes your airways sensitive to certain inhaled substances.
                
Reducing inflammation helps prevent the chain reaction that causes asthma symptoms. Most people who take these medicines daily find they greatly reduce the severity of symptoms and how often they occur.
                
Inhaled corticosteroids generally are safe when taken as prescribed. These medicines are different from the illegal anabolic steroids taken by some athletes. Inhaled corticosteroids aren't habit-forming, even if you take them every day for many years.
                
Like many other medicines, though, inhaled corticosteroids can have side effects. Most doctors agree that the benefits of taking inhaled corticosteroids and preventing asthma attacks far outweigh the risk of side effects.
                
One common side effect from inhaled corticosteroids is a mouth infection called thrush. You might be able to use a spacer or holding chamber on your inhaler to avoid thrush. These devices attach to your inhaler. They help prevent the medicine from landing in your mouth or on the back of your throat.
                
Check with your doctor to see whether a spacer or holding chamber should be used with the inhaler you have. Also, work with your health care team if you have any questions about how to use a spacer or holding chamber. Rinsing your mouth out with water after taking inhaled corticosteroids also can lower your risk for thrush.
                
If you have severe asthma, you may have to take corticosteroid pills or liquid for short periods to get your asthma under control.
                
If taken for long periods, these medicines raise your risk for cataracts and osteoporosis (OS-te-o-po-RO-sis). A cataract is the clouding of the lens in your eye. Osteoporosis is a disorder that makes your bones weak and more likely to break.
                
Your doctor may have you add another long-term asthma control medicine so he or she can lower your dose of corticosteroids. Or, your doctor may suggest you take calcium and vitamin D pills to protect your bones.
                
Other long-term control medicines. Other long-term control medicines include:
                
Cromolyn. This medicine is taken using a device called a nebulizer. As you breathe in, the nebulizer sends a fine mist of medicine to your lungs. Cromolyn helps prevent airway inflammation.
                
Omalizumab (anti-IgE). This medicine is given as a shot (injection) one or two times a month. It helps prevent your body from reacting to asthma triggers, such as pollen and dust mites. Anti-IgE might be used if other asthma medicines have not worked well.
                
A rare, but possibly life-threatening allergic reaction called anaphylaxis might occur when the Omalizumab injection is given. If you take this medication, work with your doctor to make sure you understand the signs and symptoms of anaphylaxis and what actions you should take.
                
Inhaled long-acting beta2-agonists. These medicines open the airways. They might be added to inhaled corticosteroids to improve asthma control. Inhaled long-acting beta2-agonists should never be used on their own for long-term asthma control. They must used with inhaled corticosteroids.
                
Leukotriene modifiers. These medicines are taken by mouth. They help block the chain reaction that increases inflammation in your airways.
                
Theophylline. This medicine is taken by mouth. Theophylline helps open the airways.
                
If your doctor prescribes a long-term control medicine, take it every day to control your asthma. Your asthma symptoms will likely return or get worse if you stop taking your medicine.
                
Long-term control medicines can have side effects. Talk with your doctor about these side effects and ways to reduce or avoid them.
                
With some medicines, like theophylline, your doctor will check the level of medicine in your blood. This helps ensure that youre getting enough medicine to relieve your asthma symptoms, but not so much that it causes dangerous side effects.
                
Quick-Relief Medicines
                
All people who have asthma need quick-relief medicines to help relieve asthma symptoms that may flare up. Inhaled short-acting beta2-agonists are the first choice for quick relief.
                
These medicines act quickly to relax tight muscles around your airways when you're having a flareup. This allows the airways to open up so air can flow through them.
                
You should take your quick-relief medicine when you first notice asthma symptoms. If you use this medicine more than 2 days a week, talk with your doctor about your asthma control. You may need to make changes to your asthma action plan.
                
Carry your quick-relief inhaler with you at all times in case you need it. If your child has asthma, make sure that anyone caring for him or her has the child's quick-relief medicines, including staff at the child's school. They should understand when and how to use these medicines and when to seek medical care for your child.
                
You shouldn't use quick-relief medicines in place of prescribed long-term control medicines. Quick-relief medicines don't reduce inflammation.
                
Track Your Asthma
                
To track your asthma, keep records of your symptoms, check your peak flow number using a peak flow meter, and get regular asthma checkups.
                
Record Your Symptoms
                
You can record your asthma symptoms in a diary to see how well your treatments are controlling your asthma.
                
Asthma is well controlled if:
                
You have symptoms no more than 2 days a week, and these symptoms don't wake you from sleep more than 1 or 2 nights a month.
                
You can do all your normal activities.
                
You take quick-relief medicines no more than 2 days a week.
                
You have no more than one asthma attack a year that requires you to take corticosteroids by mouth.
                
Your peak flow doesn't drop below 80 percent of your personal best number.
                
If your asthma isn't well controlled, contact your doctor. He or she may need to change your asthma action plan.
                
Use a Peak Flow Meter
                
This small, hand-held device shows how well air moves out of your lungs. You blow into the device and it gives you a score, or peak flow number. Your score shows how well your lungs are working at the time of the test.
                
Your doctor will tell you how and when to use your peak flow meter. He or she also will teach you how to take your medicines based on your score.
                
Your doctor and other health care providers may ask you to use your peak flow meter each morning and keep a record of your results. You may find it very useful to record peak flow scores for a couple of weeks before each medical visit and take the results with you.
                
When you're first diagnosed with asthma, it's important to find your ""personal best"" peak flow number. To do this, you record your score each day for a 2- to 3-week period when your asthma is well-controlled. The highest number you get during that time is your personal best. You can compare this number to future numbers to make sure your asthma is controlled.
                
Your peak flow meter can help warn you of an asthma attack, even before you notice symptoms. If your score shows that your breathing is getting worse, you should take your quick-relief medicines the way your asthma action plan directs. Then you can use the peak flow meter to check how well the medicine worked.
                
Get Asthma Checkups
                
When you first begin treatment, you'll see your doctor about every 2 to 6 weeks. Once your asthma is controlled, your doctor may want to see you from once a month to twice a year.
                
During these checkups, your doctor may ask whether you've had an asthma attack since the last visit or any changes in symptoms or peak flow measurements. He or she also may ask about your daily activities. This information will help your doctor assess your level of asthma control.
                
Your doctor also may ask whether you have any problems or concerns with taking your medicines or following your asthma action plan. Based on your answers to these questions, your doctor may change the dose of your medicine or give you a new medicine.
                
If your control is very good, you might be able to take less medicine. The goal is to use the least amount of medicine needed to control your asthma.
                
Emergency Care
                
Most people who have asthma, including many children, can safely manage their symptoms by following their asthma action plans. However, you might need medical attention at times.
                
Call your doctor for advice if:
                
Your medicines don't relieve an asthma attack.
                
Your peak flow is less than half of your personal best peak flow number.
                
Call 911 for emergency care if:
                
You have trouble walking and talking because you're out of breath.
                
You have blue lips or fingernails.
                
At the hospital, you'll be closely watched and given oxygen and more medicines, as well as medicines at higher doses than you take at home. Such treatment can save your life.
                
Asthma Treatment for Special Groups
                
The treatments described above generally apply to all people who have asthma. However, some aspects of treatment differ for people in certain age groups and those who have special needs.
                
Children
                
It's hard to diagnose asthma in children younger than 5 years. Thus, it's hard to know whether young children who wheeze or have other asthma symptoms will benefit from long-term control medicines. (Quick-relief medicines tend to relieve wheezing in young children whether they have asthma or not.)
                
Doctors will treat infants and young children who have asthma symptoms with long-term control medicines if, after assessing a child, they feel that the symptoms are persistent and likely to continue after 6 years of age. (For more information, go to ""How Is Asthma Diagnosed?"")
                
Inhaled corticosteroids are the preferred treatment for young children. Montelukast and cromolyn are other options. Treatment might be given for a trial period of 1month to 6 weeks. Treatment usually is stopped if benefits aren't seen during that time and the doctor and parents are confident the medicine was used properly.
                
Inhaled corticosteroids can possibly slow the growth of children of all ages. Slowed growth usually is apparent in the first several months of treatment, is generally small, and doesn't get worse over time. Poorly controlled asthma also may reduce a child's growth rate.
                
Many experts think the benefits of inhaled corticosteroids for children who need them to control their asthma far outweigh the risk of slowed growth.
                
Older Adults
                
Doctors may need to adjust asthma treatment for older adults who take certain other medicines, such as beta blockers, aspirin and other pain relievers, and anti-inflammatory medicines. These medicines can prevent asthma medicines from working well and may worsen asthma symptoms.
                
Be sure to tell your doctor about all of the medicines you take, including over-the-counter medicines.
                
Older adults may develop weak bones from using inhaled corticosteroids, especially at high doses. Talk with your doctor about taking calcium and vitamin D pills, as well as other ways to help keep your bones strong.
                
Pregnant Women
                
Pregnant women who have asthma need to control the disease to ensure a good supply of oxygen to their babies. Poor asthma control increases the risk of preeclampsia, a condition in which a pregnant woman develops high blood pressure and protein in the urine. Poor asthma control also increases the risk that a baby will be born early and have a low birth weight.
                
Studies show that it's safer to take asthma medicines while pregnant than to risk having an asthma attack.
                
Talk with your doctor if you have asthma and are pregnant or planning a pregnancy. Your level of asthma control may get better or it may get worse while you're pregnant. Your health care team will check your asthma control often and adjust your treatment as needed.
                
People Whose Asthma Symptoms Occur With Physical Activity
                
Physical activity is an important part of a healthy lifestyle. Adults need physical activity to maintain good health. Children need it for growth and development.
                
In some people, however, physical activity can trigger asthma symptoms. If this happens to you or your child, talk with your doctor about the best ways to control asthma so you can stay active.
                
The following medicines may help prevent asthma symptoms caused by physical activity:
                
Short-acting beta2-agonists (quick-relief medicine) taken shortly before physical activity can last 2 to 3 hours and prevent exercise-related symptoms in most people who take them.
                
Long-acting beta2-agonists can be protective for up to 12 hours. However, with daily use, they'll no longer give up to 12 hours of protection. Also, frequent use of these medicines for physical activity might be a sign that asthma is poorly controlled.
                
Leukotriene modifiers. These pills are taken several hours before physical activity. They can help relieve asthma symptoms brought on by physical activity.
                
Long-term control medicines. Frequent or severe symptoms due to physical activity may suggest poorly controlled asthma and the need to either start or increase long-term control medicines that reduce inflammation. This will help prevent exercise-related symptoms.
                
Easing into physical activity with a warmup period may be helpful. You also may want to wear a mask or scarf over your mouth when exercising in cold weather.
                
If you use your asthma medicines as your doctor directs, you should be able to take part in any physical activity or sport you choose.
                
People Having Surgery
                
Asthma may add to the risk of having problems during and after surgery. For instance, having a tube put into your throat may cause an asthma attack.
                
Tell your surgeon about your asthma when you first talk with him or her. The surgeon can take steps to lower your risk, such as giving you asthma medicines before or during surgery."
Asthma,prevention,How to prevent Asthma ?,"You cant prevent asthma. However, you can take steps to control the disease and prevent its symptoms. For example:
                
Learn about your asthma and ways to control it.
                
Follow your written asthma action plan. (For a sample plan, go to the National Heart, Lung, and Blood Institute's ""Asthma Action Plan."")
                
Use medicines as your doctor prescribes.
                
Identify and try to avoid things that make your asthma worse (asthma triggers). However, one trigger you should not avoid is physical activity. Physical activity is an important part of a healthy lifestyle. Talk with your doctor about medicines that can help you stay active.
                
Keep track of your asthma symptoms and level of control.
                
Get regular checkups for your asthma.
                
For more details about how to prevent asthma symptoms and attacks, go to ""How Is Asthma Treated and Controlled?"""
Diabetes,symptoms,"What are the symptoms of Alaninuria with microcephaly, dwarfism, enamel hypoplasia and diabetes mellitus ?","What are the signs and symptoms of Alaninuria with microcephaly, dwarfism, enamel hypoplasia and diabetes mellitus? The Human Phenotype Ontology provides the following list of signs and symptoms for Alaninuria with microcephaly, dwarfism, enamel hypoplasia and diabetes mellitus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of dental enamel 90% Aminoaciduria 90% Cognitive impairment 90% Incoordination 90% Intrauterine growth retardation 90% Microcephaly 90% Microdontia 90% Short stature 90% Type II diabetes mellitus 90% Autosomal recessive inheritance - Diabetes mellitus - Hypoplasia of dental enamel - Lactic acidosis - Severe short stature - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Diabetes,information,What is (are) Brittle diabetes ?,"Brittle diabetes is characterized by severe instability of blood glucose levels with frequent and unpredictable episodes of hypoglycemia and/or ketoacidosis that disrupt quality of life, often requiring frequent or prolonged hospitalizations. These unpredictable episodes are due to an absolute insulin dependency, affecting type 1 diabetics almost exclusively. Brittle diabetes is most common in women in their twenties or thirties, but can occur at any age and in either gender. The condition may be caused by stress and hormonal inbalance, neglect of self-care (noncompliance), or underlying medical conditions such as malabsorption, delayed gastric emptying due to autonomic neuropathy, drug or alcohol use or abnormal insulin absorption or degradation. Treatment is difficult and dependent upon the underlying cause."
Diabetes,symptoms,What are the symptoms of Brittle diabetes ?,"What are the symptoms of brittle diabetes? The main symptom of brittle diabetes is severe instability of blood glucose levels with frequent and unpredictable episodes of hypoglycemia and/or ketoacidosis that cause a disruption of daily activities. Three clinical presentations have been described: Predominant hyperglycemia with recurrent ketoacidosis, Predominant hypoglycemia, and Mixed hyper- and hypoglycemia. Patients with brittle diabetes have wide swings in their blood sugar levels and often experience differing blood sugar responses to the same dose and type of insulin. Complications such as neuropathy, nephropathy, and retinopathy are common. Most patients are females in their twenties of thirties, though any age or gender can be affected."
Diabetes,susceptibility,What causes Brittle diabetes ?,"What causes brittle diabetes? There are multiple causes of brittle diabetes. Emotional stress seems to play an important role, in some cases leading to hormonal inbalances which can lead to brittle diabetes. Emotional stress can also lead to a shift in the behavior of an individual, leading them to neglect their self-care. Other cases can be traced to physiological causes, including malabsorption, delayed gastric emptying due to autonomic neuropathy (gastroparesis), celiac disease, impaired glucose counterregulation (which doesn't allow the patient's body to react as it should when blood glucose levels drop), hypothyroidism and adrenal insufficiency, drug or alcohol use, systemic insulin resistance, and abnormal insulin absorption or degradation."
